! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : CB05TUCl_EPA_EdgeList.csv
! Equation file        : CB05TUCl_EPA.kpp
! Output root filename : CB05TUCl_EPA
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
67,160,R160,ALDX,0.8
70,160,R160,NTR,0.8
73,160,R160,XO2,1
79,160,NO3,R160,-1
81,160,R160,NO2,0.2
82,160,R160,HO2,0.8
54,161,R161,CO,0.334
55,161,R161,MGLY,0.168
64,161,R161,PAR,1.565
66,161,ISPD,R161,-1
67,161,R161,ALDX,0.12
68,161,R161,ALD2,0.252
69,161,R161,FORM,0.167
72,161,OH,R161,-1
73,161,R161,XO2,0.713
75,161,R161,C2O3,0.21
80,161,R161,CXO3,0.25
82,161,R161,HO2,0.503
54,162,R162,CO,0.225
55,162,R162,MGLY,0.85
64,162,R162,PAR,0.36
66,162,ISPD,R162,-1
68,162,R162,ALD2,0.02
69,162,R162,FORM,0.15
71,162,O3,R162,-1
72,162,R162,OH,0.268
73,162,R162,XO2,0.064
75,162,R162,C2O3,0.114
82,162,R162,HO2,0.154
52,163,R163,HNO3,0.15
54,163,R163,CO,0.643
64,163,R163,PAR,1.282
66,163,ISPD,R163,-1
67,163,R163,ALDX,0.357
69,163,R163,FORM,0.282
70,163,R163,NTR,0.85
73,163,R163,XO2,0.075
79,163,NO3,R163,-1
80,163,R163,CXO3,0.075
82,163,R163,HO2,0.925
54,164,R164,CO,0.333
64,164,R164,PAR,0.832
66,164,ISPD,R164,-1
68,164,R164,ALD2,0.067
69,164,R164,FORM,0.9
73,164,R164,XO2,0.7
75,164,R164,C2O3,0.967
82,164,R164,HO2,1.033
13,165,R165,TRPRXN,1
58,165,TERP,R165,-1
64,165,R165,PAR,5.12
67,165,R165,ALDX,0.15
78,165,O,R165,-1
13,166,R166,TRPRXN,1
58,166,TERP,R166,-1
63,166,R166,XO2N,0.25
64,166,R166,PAR,1.66
67,166,R166,ALDX,0.47
69,166,R166,FORM,0.28
72,166,OH,R166,-1
73,166,R166,XO2,1.25
82,166,R166,HO2,0.75
13,167,R167,TRPRXN,1
54,167,R167,CO,0.001
58,167,TERP,R167,-1
63,167,R167,XO2N,0.18
64,167,R167,PAR,7
67,167,R167,ALDX,0.21
69,167,R167,FORM,0.24
71,167,O3,R167,-1
72,167,R167,OH,0.57
73,167,R167,XO2,0.76
80,167,R167,CXO3,0.39
82,167,R167,HO2,0.07
13,168,R168,TRPRXN,1
58,168,TERP,R168,-1
63,168,R168,XO2N,0.25
67,168,R168,ALDX,0.47
70,168,R168,NTR,0.53
73,168,R168,XO2,1.03
79,168,NO3,R168,-1
81,168,R168,NO2,0.47
82,168,R168,HO2,0.28
8,169,R169,SULF,1
9,169,R169,SULRXN,1
18,169,SO2,R169,-1
72,169,OH,R169,-1
82,169,R169,HO2,1
38,170,ETOH,R170,-1
67,170,R170,ALDX,0.05
68,170,R170,ALD2,0.9
69,170,R170,FORM,0.1
72,170,OH,R170,-1
73,170,R170,XO2,0.1
82,170,R170,HO2,1
34,171,ETHA,R171,-1
63,171,R171,XO2N,0.009
68,171,R171,ALD2,0.991
72,171,OH,R171,-1
73,171,R171,XO2,0.991
82,171,R171,HO2,1
64,172,R172,PAR,2.4
65,172,ISOP,R172,-1
66,172,R172,ISPD,0.2
67,172,R172,ALDX,0.8
70,172,R172,NTR,0.8
73,172,R172,XO2,1
74,172,R172,NO,0.2
81,172,NO2,R172,-1
