! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : gas_BiadjacencyMatrix.csv
! Equation file        : gas.kpp
! Output root filename : gas
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_name,species_index,reaction_index,stoichiometric_coefficient
OH,727,195,1
HOCH2CO3H,342,196,1
HOCH2CO3,633,196,-1
HO2,721,196,-1
HOCH2CO2H,429,197,1
HOCH2CO3,633,197,-1
O3,719,197,1
HO2,721,197,-1
HOCH2CO3,633,198,-1
CO2,653,198,1
HCHO,715,198,1
HO2,721,198,1
NO,730,198,-1
NO2,731,198,1
PHAN,423,199,1
HOCH2CO3,633,199,-1
NO2,731,199,-1
HOCH2CO3,633,200,-1
CO2,653,200,1
HCHO,715,200,1
HO2,721,200,1
NO2,731,200,1
NO3,732,200,-1
HOCH2CO2H,429,201,-1
HCOCO2H,651,201,0.91
CO2,653,201,0.09
H2O,714,201,1
HCHO,715,201,0.09
HO2,721,201,1
OH,727,201,-1
HOCH2CO3H,342,202,-1
HOCH2CO3,633,202,1
H2O,714,202,1
OH,727,202,-1
HOCH2CO3H,342,203,-1
HCOCO3H,498,203,1
HO2,721,203,1
OH,727,203,-1
PHAN,423,204,-1
HOCH2CO3,633,204,1
NO2,731,204,1
PHAN,423,205,-1
H2O,714,205,1
HCHO,715,205,1
CO,726,205,1
OH,727,205,-1
NO2,731,205,1
HCOCO,666,206,1
GLYOX,697,206,-1
H2O,714,206,1
OH,727,206,-1
HCOCO,666,207,1
HNO3,671,207,1
GLYOX,697,207,-1
NO3,732,207,-1
HCOCO,666,208,-1
HO2,721,208,1
CO,726,208,2
HCOCO3,632,209,1
HCOCO,666,209,-1
CO2,653,210,1
HCOCO,666,210,-1
CO,726,210,1
OH,727,210,1
HCOCO3,632,211,-1
CO2,653,211,1
HO2,721,211,1
CO,726,211,1
HCOCO3,632,212,-1
HCOCO2H,651,212,1
HCOCO3,632,213,-1
CO2,653,213,1
CO,726,213,1
OH,727,213,1
HCOCO3,632,214,-1
CO2,653,214,1
HO2,721,214,1
CO,726,214,1
NO,730,214,-1
NO2,731,214,1
HCOCO3,632,215,-1
CO2,653,215,1
HO2,721,215,1
CO,726,215,1
NO2,731,215,1
NO3,732,215,-1
HCOCO3,632,216,-1
CO2,653,216,1
HO2,721,216,1
CO,726,216,1
NO2,731,216,-1
NO3,732,216,1
HCOCO2H,651,217,-1
CO2,653,217,1
