! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : cri_BiadjacencyMatrix.csv
! Equation file        : cri.kpp
! Output root filename : cri
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_name,species_index,reaction_index,stoichiometric_coefficient
NO3,437,136,-1
HCOOH,277,137,1
STYRENE,307,137,-1
BENZAL,337,137,1
O3,434,137,-1
RAROH14,237,138,1
STYRENE,307,138,-1
HCHO,415,138,1
O3,434,138,-1
OH,439,138,1
RA16BO2,306,139,1
BENZAL,337,139,-1
OH,439,139,-1
RA16BO2,306,140,1
BENZAL,337,140,-1
HNO3,372,140,1
NO3,437,140,-1
RAROH14,237,141,1
BENZAL,337,141,-1
CO,376,141,1
HO2,441,141,1
CO,376,142,1
HCHO,415,142,-1
HO2,441,142,2
H2,76,143,1
CO,376,143,1
HCHO,415,143,-1
CO,376,144,1
CH3O2,417,144,1
CH3CHO,433,144,-1
HO2,441,144,1
CO,376,145,1
C2H5O2,423,145,1
C2H5CHO,425,145,-1
HO2,441,145,1
C3H7CHO,201,146,-1
CO,376,146,1
RN10O2,427,146,1
HO2,441,146,1
IPRCHO,292,147,-1
IC3H7O2,362,147,1
CO,376,147,1
HO2,441,147,1
C4H9CHO,202,148,-1
CO,376,148,1
HO2,441,148,1
RN13O2,442,148,1
CO,376,149,1
HCHO,415,149,-1
OH,439,149,-1
HO2,441,149,1
CH3CO3,432,150,1
CH3CHO,433,150,-1
OH,439,150,-1
C2H5CO3,402,151,1
C2H5CHO,425,151,-1
OH,439,151,-1
C3H7CHO,201,152,-1
RN11O2,422,152,1
OH,439,152,-1
IPRCHO,292,153,-1
RI11O2,294,153,1
OH,439,153,-1
C4H9CHO,202,154,-1
RN14O2,429,154,1
OH,439,154,-1
HNO3,372,155,1
CO,376,155,1
HCHO,415,155,-1
NO3,437,155,-1
HO2,441,155,1
HNO3,372,156,1
CH3CO3,432,156,1
CH3CHO,433,156,-1
NO3,437,156,-1
HNO3,372,157,1
C2H5CO3,402,157,1
C2H5CHO,425,157,-1
NO3,437,157,-1
C3H7CHO,201,158,-1
HNO3,372,158,1
RN11O2,422,158,1
NO3,437,158,-1
IPRCHO,292,159,-1
RI11O2,294,159,1
HNO3,372,159,1
NO3,437,159,-1
C4H9CHO,202,160,-1
HNO3,372,160,1
RN14O2,429,160,1
NO3,437,160,-1
CH3COCH3,371,161,-1
CH3O2,417,161,1
CH3CO3,432,161,1
MEK,57,162,-1
C2H5O2,423,162,1
CH3CO3,432,162,1
MPRK,58,163,-1
RN10O2,427,163,1
CH3CO3,432,163,1
MIPK,226,164,-1
IC3H7O2,362,164,1
CH3CO3,432,164,1
CYHEXONE,275,165,-1
C3H6,341,165,1
C2H4,369,165,1
CO,376,165,1
CYHEXONE,275,166,-1
CO,376,166,1
PENT1ENE,424,166,1
DIEK,66,167,-1
C2H5O2,423,167,1
C2H5CHO,425,167,1
HEX2ONE,59,168,-1
CH3CO3,432,168,1
RN13O2,442,168,1
HEX3ONE,60,169,-1
C2H5CO3,402,169,1
RN10O2,427,169,1
MIBK,61,170,-1
RI13O2,361,170,1
CH3CO3,432,170,1
MTBK,62,171,-1
RI13O2,361,171,1
CH3CO3,432,171,1
CH3COCH3,371,172,-1
RN8O2,430,172,1
OH,439,172,-1
MEK,57,173,-1
RN11O2,422,173,1
OH,439,173,-1
MPRK,58,174,-1
RN14O2,429,174,1
OH,439,174,-1
MIPK,226,175,-1
RI14O2,365,175,1
OH,439,175,-1
DIEK,66,176,-1
RN14O2,429,176,1
OH,439,176,-1
HEX2ONE,59,177,-1
RN17O2,428,177,1
OH,439,177,-1
HEX3ONE,60,178,-1
RN17O2,428,178,1
OH,439,178,-1
MIBK,61,179,-1
RI17O2,287,179,1
OH,439,179,-1
MTBK,62,180,-1
RI17O2,287,180,1
OH,439,180,-1
CYHEXONE,275,181,-1
RC16O2,334,181,1
OH,439,181,-1
CH3OH,77,182,-1
HCHO,415,182,1
OH,439,182,-1
HO2,441,182,1
C2H5OH,87,183,-1
CH3CHO,433,183,1
OH,439,183,-1
HO2,441,183,1
C2H5OH,87,184,-1
HOCH2CH2O2,403,184,1
OH,439,184,-1
NPROPOL,88,185,-1
C2H5CHO,425,185,1
OH,439,185,-1
HO2,441,185,1
NPROPOL,88,186,-1
RN9O2,421,186,1
OH,439,186,-1
IPROPOL,89,187,-1
CH3COCH3,371,187,1
OH,439,187,-1
HO2,441,187,1
IPROPOL,89,188,-1
RN9O2,421,188,1
OH,439,188,-1
NBUTOL,28,189,-1
RN12O2,419,189,1
OH,439,189,-1
BUT2OL,63,190,-1
CARB11A,288,190,1
OH,439,190,-1
HO2,441,190,1
BUT2OL,63,191,-1
RN12O2,419,191,1
OH,439,191,-1
IBUTOL,64,192,-1
IPRCHO,292,192,1
OH,439,192,-1
HO2,441,192,1
IBUTOL,64,193,-1
RI12O2,328,193,1
OH,439,193,-1
TBUTOL,29,194,-1
RI12O2,328,194,1
OH,439,194,-1
PECOH,65,195,-1
DIEK,66,195,1
OH,439,195,-1
HO2,441,195,1
PECOH,65,196,-1
RN15O2,426,196,1
OH,439,196,-1
IPEAOH,30,197,-1
RN15AO2,436,197,1
OH,439,197,-1
ME3BUOL,31,198,-1
RI15O2,321,198,1
OH,439,198,-1
IPECOH,32,199,-1
RI15O2,321,199,1
OH,439,199,-1
IPEBOH,67,200,-1
MIPK,226,200,1
OH,439,200,-1
HO2,441,200,1
IPEBOH,67,201,-1
RI15O2,321,201,1
OH,439,201,-1
CYHEXOL,68,202,-1
CYHEXONE,275,202,1
OH,439,202,-1
HO2,441,202,1
CYHEXOL,68,203,-1
RN17O2,428,203,1
OH,439,203,-1
MIBKAOH,74,204,-1
RI16AO2,336,204,1
OH,439,204,-1
MIBKAOH,74,205,-1
RN16AO2,339,205,1
OH,439,205,-1
ETHGLY,51,206,-1
HOCH2CHO,411,206,1
OH,439,206,-1
HO2,441,206,1
PROPGLY,69,207,-1
RN8O2,430,207,1
OH,439,207,-1
PROPGLY,69,208,-1
CARB7,399,208,1
OH,439,208,-1
HO2,441,208,1
MIBKAOH,74,209,-1
RI12O2,328,209,1
CH3CO3,432,209,1
CH3OCH3,90,210,-1
RE6O2,271,210,1
OH,439,210,-1
DIETETHER,91,211,-1
RE12O2,313,211,1
OH,439,211,-1
MTBE,137,212,-1
RE15O2,273,212,1
OH,439,212,-1
MTBE,137,213,-1
RI15O2,321,213,1
OH,439,213,-1
DIIPRETHER,92,214,-1
RN18AO2,408,214,1
OH,439,214,-1
ETBE,127,215,-1
RE18O2,314,215,1
OH,439,215,-1
ETBE,127,216,-1
RN18AO2,408,216,1
OH,439,216,-1
MO2EOL,128,217,-1
CH3OCHO,131,217,1
CH3O2,417,217,1
OH,439,217,-1
EOX2EOL,129,218,-1
ECARB7,134,218,1
CH3O2,417,218,1
