original r_id,species_index,reaction_index,source,target,directed_stoichiometric_value
TRP08,209,152,O3,R152,-1.0
TRP08,182,152,R152,HO,0.09
TRP08,190,152,R152,ALD,1.0
TRP08,90,152,R152,HCHO,0.62
TRP08,205,152,R152,OP1,0.23
TRP08,162,152,R152,H2O2,0.02
TRP08,10,152,R152,ORA1,0.15
TRP09,176,153,VTRPN,R153,-1.0
TRP09,209,153,O3,R153,-1.0
TRP09,37,153,R153,VHONIT,0.33
TRP09,56,153,R153,NO2,0.67
TRP09,154,153,R153,PINAL,0.27
TRP09,188,153,R153,KET,0.38
TRP09,90,153,R153,HCHO,0.21
TRP09,190,153,R153,ALD,0.02
R133,138,154,MACR,R154,-1.0
R133,209,154,O3,R154,-1.0
R133,182,154,R154,HO,0.19
R133,187,154,R154,HO2,0.14
R133,30,154,R154,ACO3,0.1
R133,97,154,R154,CO,0.22
R133,106,154,R154,MGLY,0.5
R133,10,154,R154,ORA1,0.45
R134,113,155,MVK,R155,-1.0
R134,209,155,O3,R155,-1.0
R134,182,155,R155,HO,0.16
R134,187,155,R155,HO2,0.11
R134,30,155,R155,ACO3,0.28
R134,110,155,R155,XO2,0.01
R134,97,155,R155,CO,0.56
R134,90,155,R155,HCHO,0.1
R134,106,155,R155,MGLY,0.54
R134,10,155,R155,ORA1,0.07
R134,177,155,R155,ORA2,0.07
R134,190,155,R155,ALD,0.1
R135,206,156,UALD,R156,-1.0
R135,209,156,O3,R156,-1.0
R135,182,156,R156,HO,0.1
