! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Dense species-by-atom composition matrix (variable species only) in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : mcm_SpeciesCompositionMatrix.csv
! Equation file        : mcm.kpp
! Output root filename : mcm
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,species_name,IGNORE,H,C,N,O,S,Cl,Br
388,C106OH,0,16,10,0,4,0,0,0
389,HOC3H6OH,0,8,3,0,2,0,0,0
390,C720OH,0,12,7,0,2,0,0,0
391,APINOOA,0,16,10,0,3,0,0,0
392,C107O,0,15,10,0,3,0,0,0
393,C107OH,0,16,10,0,3,0,0,0
394,C108OH,0,16,10,0,4,0,0,0
395,HOC2H4CO2H,0,6,3,0,3,0,0,0
396,DMMAOH,0,8,3,0,3,0,0,0
397,MMFOH,0,6,3,0,4,0,0,0
398,DMMBOH,0,8,3,0,3,0,0,0
399,DMCOH,0,6,3,0,4,0,0,0
400,MMCFOH,0,4,3,0,5,0,0,0
401,IPROMC2OH,0,14,6,0,2,0,0,0
402,IPROC21OH,0,12,5,0,2,0,0,0
403,ETBECOH,0,14,6,0,2,0,0,0
404,H2C3OCOH,0,10,4,0,3,0,0,0
405,TBOCOCH2OH,0,12,6,0,3,0,0,0
406,BZBIPER2OH,0,8,6,0,4,0,0,0
407,CO2C4DIAL,0,2,4,0,4,0,0,0
408,MALANHY2OH,0,4,4,0,5,0,0,0
409,PBZQOH,0,6,6,0,4,0,0,0
410,PBZQCO,0,4,6,0,4,0,0,0
411,PBZQOOH,0,6,6,0,5,0,0,0
412,BZFUOH,0,6,4,0,4,0,0,0
413,TOLUENE,0,8,7,0,0,0,0,0
414,C6H5CH2OH,0,8,7,0,1,0,0,0
415,TLBIPER2OH,0,10,7,0,4,0,0,0
416,PTLQOH,0,8,7,0,4,0,0,0
417,PTLQCO,0,6,7,0,4,0,0,0
418,PTLQOOH,0,8,7,0,5,0,0,0
419,MXYLOH,0,10,8,0,1,0,0,0
420,MXYLCO2H,0,8,8,0,2,0,0,0
421,MXYBPER2OH,0,12,8,0,4,0,0,0
422,C23O3MCO2H,0,8,6,0,5,0,0,0
423,C23O3MOH,0,8,5,0,4,0,0,0
424,NBZFUONE,0,3,4,1,6,0,0,0
425,TBUTOL,0,10,4,0,1,0,0,0
426,PXYLOH,0,10,8,0,1,0,0,0
427,TOL4OHNO2,0,7,7,1,3,0,0,0
428,PXYLCO2H,0,8,8,0,2,0,0,0
429,C23O3CCO2H,0,6,5,0,5,0,0,0
430,OXYLOH,0,10,8,0,1,0,0,0
431,OXYLCO2H,0,8,8,0,2,0,0,0
432,OXYQOH,0,10,8,0,4,0,0,0
433,OXYQCO,0,8,8,0,4,0,0,0
