! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : mcm_BiadjacencyMatrix.csv
! Equation file        : mcm.kpp
! Output root filename : mcm
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
IPRCHO,5773,200,1
IBUTOL,1828,201,1
IC4H9O2,5309,201,-1
IC4H9NO3,2186,202,-1
IPRCHO,5773,202,1
OH,5824,202,-1
NO2,5831,202,1
IC4H9O,1819,203,1
IC4H9NO3,2186,203,-1
NO2,5831,203,1
IC4H9OOH,2191,204,-1
IC4H9O2,5309,204,1
OH,5824,204,-1
IC4H9OOH,2191,205,-1
IPRCHO,5773,205,1
IC4H9O,1819,206,1
IC4H9OOH,2191,206,-1
OH,5824,206,1
TC4H9O,2208,207,1
TC4H9O2,5469,207,-1
NO,5826,207,-1
NO2,5831,207,1
TC4H9NO3,2852,208,1
TC4H9O2,5469,208,-1
NO,5826,208,-1
TC4H9O,2208,209,-1
CH3COCH3,5706,209,1
CH3O2,5803,209,1
TC4H9O,2208,210,1
TC4H9O2,5469,210,-1
NO2,5831,210,1
NO3,5832,210,-1
TC4H9OOH,1246,211,1
TC4H9O2,5469,211,-1
HO2,5825,211,-1
TC4H9O,2208,212,1
TC4H9O2,5469,212,-1
TBUTOL,425,213,1
TC4H9O2,5469,213,-1
TC4H9NO3,2852,214,-1
CH3COCH3,5706,214,1
HCHO,5808,214,1
OH,5824,214,-1
NO2,5831,214,1
TC4H9O,2208,215,1
TC4H9NO3,2852,215,-1
NO2,5831,215,1
TC4H9OOH,1246,216,-1
TC4H9O2,5469,216,1
OH,5824,216,-1
TC4H9OOH,1246,217,-1
TC4H9O,2208,217,1
OH,5824,217,1
NC5H12,1831,218,-1
PEAO2,5736,218,1
OH,5824,218,-1
NC5H12,1831,219,-1
PEBO2,5765,219,1
OH,5824,219,-1
NC5H12,1831,220,-1
PECO2,5364,220,1
OH,5824,220,-1
PEAO,219,221,1
PEAO2,5736,221,-1
NO,5826,221,-1
NO2,5831,221,1
PEANO3,2235,222,1
PEAO2,5736,222,-1
NO,5826,222,-1
PEAO,219,223,-1
HO1C5O2,4420,223,1
HO1C5O,2246,224,1
HO1C5O2,4420,224,-1
NO,5826,224,-1
NO2,5831,224,1
HO1C5NO3,2891,225,1
HO1C5O2,4420,225,-1
NO,5826,225,-1
HO1C5O,2246,226,-1
HO2C4CHO,4744,226,1
HO2,5825,226,1
PEAO,219,227,1
PEAO2,5736,227,-1
NO2,5831,227,1
NO3,5832,227,-1
PEAOOH,2265,228,1
PEAO2,5736,228,-1
HO2,5825,228,-1
PEAO,219,229,1
PEAO2,5736,229,-1
PEAO2,5736,230,-1
C4H9CHO,5738,230,1
PEAOH,444,231,1
PEAO2,5736,231,-1
HO1C5O,2246,232,1
HO1C5O2,4420,232,-1
NO2,5831,232,1
NO3,5832,232,-1
HO1C5OOH,1305,233,1
HO1C5O2,4420,233,-1
HO2,5825,233,-1
HO1C5O,2246,234,1
HO1C5O2,4420,234,-1
HO1C5O2,4420,235,-1
CO2C5OH,4793,235,1
HO2C5OH,1307,236,1
HO1C5O2,4420,236,-1
PEANO3,2235,237,-1
C4H9CHO,5738,237,1
OH,5824,237,-1
NO2,5831,237,1
PEAO,219,238,1
PEANO3,2235,238,-1
NO2,5831,238,1
HO1C5NO3,2891,239,-1
CO2C5OH,4793,239,1
OH,5824,239,-1
NO2,5831,239,1
HO1C5O,2246,240,1
HO1C5NO3,2891,240,-1
NO2,5831,240,1
PEAOOH,2265,241,-1
PEAO2,5736,241,1
OH,5824,241,-1
PEAOOH,2265,242,-1
C4H9CHO,5738,242,1
PEAO,219,243,1
PEAOOH,2265,243,-1
