Experiment number,Temperature (K),Time (min),O3 [ppb],NO [ppb],NO2 [ppb],HCHO [ppb],HO2 [ppb],H2O2 [ppb],OH [ppb],HNO3 [ppb],CO [ppb],H2 [ppb],ALD2 [ppb],MGLY [ppb],MCO3 [ppb],PAN [ppb],H2O [ppb],O2 [ppb]
949.0,297.00000925452275,2400.0,19.175764800196603,7.653597272943573,7.566183403040051,3.4091280439667844,0.0018096259202171339,6.571102550217524,0.0003983461968177319,6.406985592029018,8.210050824322423,0.5186873449504019,2.9008319811507697,11.691851285594238,0.003868141938079204,11.341544211797338,2.128620100688006,2.099999804073372e8
949.0,297.00000925452275,2700.0,19.289050046317644,6.9437850902711125,6.909335647786855,3.2412621544298195,0.0019005424770204163,6.521342331995663,0.00041009081173304634,7.011531016788959,9.015868844724475,0.5709311018582203,2.773058916686827,11.056005773067396,0.004318896594018732,12.103658724963056,2.3750676608222614,2.0999997874357823e8
949.0,297.00000925452275,3000.0,19.403962250193644,6.2744597094805314,6.285082231586359,3.079411695927689,0.0020054861221409973,6.470875664030435,0.0004234882434227698,7.579668362236403,9.781289584449457,0.6207383074570465,2.6472064400432935,10.454745280005659,0.00483552067510539,12.829100176506683,2.6187385644021393,2.099999771544626e8
949.0,297.00000925452275,3300.0,19.520644377586127,5.643388520211927,5.69179484277494,2.9231961462999587,0.00212788087103841,6.419569446223169,0.00043886971333479536,8.113139006221584,10.508592943560897,0.6682050415755504,2.5230212105486016,9.886182574868034,0.005432969039532044,13.519988110601528,2.8602571831923616,2.099999756354687e8
949.0,297.00000925452275,3600.0,19.63931289752377,5.048482220279495,5.127933332475852,2.7722299767461416,0.0022734877690668304,6.367263872895149,0.0004567890914582315,8.613546545741446,11.19996426372522,0.7134233427283878,2.400228544879735,9.348533786412114,0.006135971375371535,14.178348381313185,3.1003130907016865,2.0999997418217966e8
950.0,288.29514868763084,0.0,23.94590796381634,11.838170208075823,5.025370703639354,20.3008938546805,0.005679590906466489,1.168352992199344,0.0006663782385082194,0.0,0.0,0.0,5.652547035899773,5.763953541563637,0.007989658657987014,0.8891851727026804,0.0,2.1000000000000003e8
950.0,288.29514868763084,300.0,21.226544688670735,7.970467414906476,7.840802384996858,19.37431810343097,0.0021278466730110194,1.1605904143329613,0.000306322198201618,0.5179872407589458,1.2401991238526158,0.30533020167765285,5.438641619068152,5.450501693724516,0.000977289893855297,1.4234690437555748,0.6357776831040117,2.1000000105249104e8
950.0,288.29514868763084,600.0,21.706300114387663,7.382481027426259,7.439996259045585,18.51188260885087,0.002187974793125661,1.1531679208035748,0.0003057752210140426,1.016057450058748,2.399278677470087,0.5970604911095148,5.244182151109041,5.154091747575894,0.0010073434255259677,1.9141913478872599,1.2104507782806997,2.0999999901904473e8
950.0,288.29514868763084,900.0,22.178370509009284,6.837418301227642,7.046000691341783,17.688209432063978,0.0022513311692808,1.145797675094898,0.00030564277006531784,1.4876769562351708,3.5035503102696754,0.8758514137390933,5.056856185015336,4.873794204322483,0.0010416086670013522,2.381630135613258,1.7608993523388972,2.099999970671324e8
950.0,288.29514868763084,1200.0,22.63903829704571,6.328759393726692,6.662811632003857,16.901182149476057,0.0023186928356125013,1.1384740702898513,0.0003058305116957381,1.9340343895693441,4.556000441750945,1.1422794953099153,4.876203186600244,4.608736181558762,0.0010796832762962367,2.8271206691179613,2.288738796976603,2.0999999519633916e8
950.0,288.29514868763084,1500.0,23.088399775981067,5.85397648943571,6.290554869526726,16.1488295249101,0.0023909953051152186,1.1311918025483083,0.0003063425093862482,2.356281681431171,5.559428929625894,1.3968940007884825,4.70180491170768,4.358086524602939,0.0011221370418125895,3.251913044024246,2.7954427513300963,2.0999999340269822e8
950.0,288.29514868763084,1800.0,23.52627856270753,5.410479443348059,5.929591970218141,15.429343988276928,0.0024683783689587687,1.1239457260202275,0.0003071828001867605,2.7554967503776537,6.516411806294485,1.6402048442041606,4.533282149948382,4.1210746388550925,0.0011691809554149142,3.6571579204740012,3.2823482893943594,2.0999999168282613e8
950.0,288.29514868763084,2100.0,23.95275135914474,4.996006525426486,5.580010130377259,14.740978136530615,0.002551541407891561,1.1167305376206769,0.00030836200734769397,3.132738910982822,7.4294465127228415,1.8727105555073615,4.370271973716038,3.896948633825424,0.0012213402339588107,4.0439705176312835,3.750735594681678,2.099999900331967e8
950.0,288.29514868763084,2400.0,24.3679443945014,4.608514869629799,5.2418220819024,14.082114193137482,0.002641487437675302,1.1095409750443752,0.00030989386527740034,3.489003705951631,8.300851054409575,2.0948776273746854,4.2124415705014275,3.6850067827386694,0.001279311629162355,4.413385426934023,4.201779079911345,2.0999998845048347e8
950.0,288.29514868763084,2700.0,24.771936029101624,4.24605578966791,4.915070429286556,13.451242592340815,0.002738944303460688,1.102371727764757,0.0003117915533623896,3.825230374497364,9.132792094139413,2.307145010679785,4.059482365524111,3.484590820348079,0.0013436766937763686,4.766369490966023,4.636567224223619,2.0999998693161818e8
950.0,288.29514868763084,3000.0,25.164902496810193,3.9068881286010737,4.5996863942042125,12.846936716513243,0.0028451101907723767,1.0952173575744752,0.0003140776890658824,4.14231467851939,9.92732020948761,2.509930817460852,3.9111045572375076,3.2950759210166747,0.0014153220900222654,5.1038368830931775,5.0561221443888025,2.0999998547359616e8
950.0,288.29514868763084,3300.0,25.546995656247233,3.5893554366591522,4.29561579801305,12.267851859480512,0.0029610830157255487,1.0880722519506345,0.0003167736396339581,4.4411054477391225,10.686369540398081,2.7036313762847985,3.7670357581204725,3.115872096845417,0.0014951016117203684,5.42664940200653,5.461403628147808,2.0999998407359925e8
950.0,288.29514868763084,3600.0,25.91860602161892,3.2921130540799988,4.002562185925719,11.712696451292627,0.003089804209600649,1.0809304080979845,0.0003199575914944288,4.722417473223764,11.411798002893022,2.888628913521656,3.627014206911769,2.9464127860564377,0.0015851226685186601,5.735633371188372,5.853332116273698,2.0999998272867638e8
951.0,287.86181901418047,0.0,5.010973288500226,2.783458167029773,4.909893852694861,27.757277311372505,0.002388764801041414,7.85687496689381,0.0006708229318687722,0.0,0.0,0.0,9.038500538343598,9.569823030995751,0.00572519772067345,2.1218777799782202,0.0,2.1e8
951.0,287.86181901418047,300.0,8.621998856815297,4.056223778133321,2.01875295338916,25.87111411728072,0.009059401802082782,7.765637349464156,0.0007523017482807026,0.38913390413769816,2.4074528970147004,0.41357937562239494,8.325633717031451,9.049403475438133,0.009335116843338409,3.351119164042674,1.9831742248803244,2.0999999288514784e8
951.0,287.86181901418047,600.0,9.770459480696694,2.8703080489268213,1.6779404014635033,23.981982464869372,0.012292138918024761,7.666572343544777,0.0007927841287952798,0.6927499178857919,4.790111481315658,0.7979692753219085,7.592281945750458,8.557283735549598,0.01099076462825745,4.574231431426736,4.047327516474829,2.0999998825630674e8
951.0,287.86181901418047,900.0,10.942793308150803,1.7980821160725327,1.3206187035244727,22.1658545768628,0.01890141642833674,7.564056587522145,0.0008449316498313009,0.9545285638790196,7.073535148863857,1.1541179472536323,6.886193785712093,8.091926099100927,0.013698504768727814,5.742000416226827,6.062778958623256,2.0999998374799713e8
951.0,287.86181901418047,1200.0,12.170109010610012,0.8657480509073973,0.9266084601498872,20.411448684168015,0.03749088750874369,7.457020614866543,0.000902481281955414,1.1644053024292595,9.270523966030332,1.4830788099841303,6.203126614207738,7.65187586994873,0.019081987776055607,6.858467986216308,8.044456303429655,2.09999979311013e8
951.0,287.86181901418047,1500.0,13.37852961229364,0.16242353922337377,0.48132640457786485,18.800905282837057,0.14336614297141853,7.351888820512729,0.0007363429686319099,1.2977627183793632,11.300130557859363,1.7860223675203546,5.590392517779367,7.23575692440058,0.03121375597167225,7.873717137522249,9.854289379729174,2.0999997514634722e8
951.0,287.86181901418047,1800.0,13.96168088946781,0.003579613320534117,0.05201642869681938,17.87228534346509,0.6703727991318775,7.296916834640406,9.825978143480458e-5,1.3228559463180272,12.623674192088746,2.0679778694014312,5.339442287506455,6.842267227028757,0.11187601102838324,8.436777811367469,10.603490364572988,2.0999997268925422e8
951.0,287.86181901418047,2100.0,14.00502445562035,0.0001880047245803985,0.006228374340310115,17.371260727529165,1.4117214768943038,7.2766043262389,2.640426823751855e-5,1.3230446696786575,13.496952584535913,2.3392781750822507,5.312842281665665,6.4701759595497474,0.4614950902402409,8.485768750959307,10.682261928858745,2.0999997146341214e8
951.0,287.86181901418047,2400.0,14.017233843087585,6.795957594760014e-5,0.003413913996799173,16.903738249268578,2.1343453980044953,7.258123107277076,2.257965778992021e-5,1.3230680872339997,14.316425375407652,2.6031644382184673,5.297603596087831,6.118319306536272,0.8256325110959067,8.488679838896108,10.726675519911312,2.0999997035160676e8
